source,email_domain_end,email_domain_name,user_identifier,stand_institute
3-users_lifewatch_by_group_kpi_2023-11-07,com,etbnleurofins,7dce5676-f97a-455c-b03d-18ba08ee79ee,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,hsc,14ba331f-2c53-4f82-869f-071e8062a9ee,
3-users_lifewatch_by_group_kpi_2023-11-07,com,126,fe5c5a81-7c32-45c3-b9de-a962a7864f7a,
3-users_lifewatch_by_group_kpi_2023-11-07,cz_DISABLED,hbucas,cc300fb8-ed14-4581-8c25-188d4351f24f,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,estudiantupc,6bf03cef-75cb-43d0-abfe-7099952245f1,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,utrgv,1aa5ead5-49a8-4f27-b035-27f307092b8e,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,bioulaval,3d47571f-a9dd-4f2a-bf20-f1e570be720c,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,wcu,269e11cd-d617-4b73-9476-7bfe63a5e066,
3-users_lifewatch_by_group_kpi_2023-11-07,com,samuelbosch,cd788e0f-239f-4dd4-8e2d-62d325eda888,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,bodcac,d59490e1-a7b1-4450-a485-e117f770c57c,
3-users_lifewatch_by_group_kpi_2023-11-07,net,yeah,3392e5bf-b556-4b6d-803c-041798e5175e,
3-users_lifewatch_by_group_kpi_2023-11-07,cz,afczu,d8657b4f-c87d-4528-aa32-011fca1fc8d7,
3-users_lifewatch_by_group_kpi_2023-11-07,es,ujaen,11fe7d70-8209-41a6-aec3-4fc1610dcf54,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,hawaii,5de607b1-710f-49fc-a347-9db54a1e6b27,
3-users_lifewatch_by_group_kpi_2023-11-07,de,freenet,d7985de2-6592-4dba-b841-6abfd3113d52,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,hwac,fe052c56-fe92-430f-bc60-a830f03da11b,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,mioosupytheas,84fea5e6-90f0-46bd-bd16-154031f4e50a,
3-users_lifewatch_by_group_kpi_2023-11-07,es,udc,b65e8d0c-48bf-470c-bba4-525d390271aa,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,dorsetwildlifetrustorg,06160065-ece1-4dac-b1f5-a3c79c5d4894,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,mailusf,e27a34a7-d6a5-4b54-b84e-805dc7b1139e,
3-users_lifewatch_by_group_kpi_2023-11-07,eus,euskadi,7261e74a-160e-4d74-b68d-c590ea3c94db,
3-users_lifewatch_by_group_kpi_2023-11-07,ru,rambler,d0ac2e27-1565-4aa0-aa66-d546adc33468,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ghmc,c56bb4f7-7104-49ca-8720-4ed3ab7d2e62,
3-users_lifewatch_by_group_kpi_2023-11-07,fi,helsinki,5aadc02b-9a98-4d00-8d44-4051244e91bf,
3-users_lifewatch_by_group_kpi_2023-11-07,de,t-online,bb5ede5f-78c5-48de-98bd-df9aac8e6e2f,
3-users_lifewatch_by_group_kpi_2023-11-07,cz,hbucas,47c4e782-f63b-4e05-964b-f582d69939dd,
3-users_lifewatch_by_group_kpi_2023-11-07,bg,abv,33b8dfe3-3aca-4221-8bdf-6fe423fdac7f,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,liu,26d77c85-f2f8-45d9-beaa-fd8e564ed060,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ufl,98d620d0-9368-4119-9b90-6c560d39d6f5,
3-users_lifewatch_by_group_kpi_2023-11-07,es,tragsa,7aae29a6-2286-48c9-8c56-d3402a1bd5c2,
3-users_lifewatch_by_group_kpi_2023-11-07,es,iter,3a59d82b-de70-4ed3-8d23-b7b9958f8b7e,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,gwctorg,59a0644c-8f0f-4a7d-9401-2e282775931d,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,illinois,0682f8b3-ee6d-4ec1-bc03-6014c6e3fba4,
3-users_lifewatch_by_group_kpi_2023-11-07,com,urhen,36cde192-d73b-4acb-9b85-c898630bf93f,
3-users_lifewatch_by_group_kpi_2023-11-07,es,ugr,69c76d5f-e769-4ba5-8183-d99359708e1b,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,ollusa,f19c8ca7-dae2-49a8-ada0-387a67f37cd4,
3-users_lifewatch_by_group_kpi_2023-11-07,es,ibbcsic,91aac15a-ca0b-4dd1-9eac-c8db4247926e,
3-users_lifewatch_by_group_kpi_2023-11-07,es,ibbcsic,b9bed1c0-3824-4512-b259-1155ed124370,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,utk,fd49d0e2-37b9-41bf-95a5-88efb1e291e5,
3-users_lifewatch_by_group_kpi_2023-11-07,com,total,fce45597-802b-4844-92d5-29aa7bbabc6b,
3-users_lifewatch_by_group_kpi_2023-11-07,fr_DISABLED,univ-corse,5784d624-b278-478f-8951-cddf0a000b51,
3-users_lifewatch_by_group_kpi_2023-11-07,es,iimcsic,86448730-f93e-4b83-a647-d56354242b66,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,portac,bf4a98af-8ffa-498c-b7f3-9bf3977c2288,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,cyfoethnaturiolcymrugov,b78f0cbc-6c4d-4958-bb54-929bd45db4fa,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,mlmlcalstate,cc00784f-729f-4f40-b014-250c0ab1e5a9,
3-users_lifewatch_by_group_kpi_2023-11-07,ar,darwinedu,949d96b6-7e65-4ec4-b0b3-0ef237ed62a9,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,lsu,b8608283-fd46-436f-9198-44583cd7719c,
3-users_lifewatch_by_group_kpi_2023-11-07,edu,hawaii,41289fc3-c249-479e-a01f-92e7081200d9,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,hidefsurveyingco,7fa3ff10-b875-44ca-91ef-c301b670cbb7,
3-users_lifewatch_by_group_kpi_2023-11-07,es,icmcsic,c85c2744-e90a-4571-b609-396a9d1d85e0,
3-users_lifewatch_by_group_kpi_2023-11-07,fr,obs-vlfr,b1069868-87ef-4b6c-b6b3-f13b42251b34,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,cefastechnologyco,909944a1-ed20-4adb-9fac-b0cac1c98bbf,
3-users_lifewatch_by_group_kpi_2023-11-07,es,dcaupv,c133da63-b5e6-4e96-9f2e-263c6e759591,
3-users_lifewatch_by_group_kpi_2023-11-07,com,bv,ae7d5e94-7fcd-4b9e-a4ee-874b62bc4105,
3-users_lifewatch_by_group_kpi_2023-11-07,uk_DISABLED,ukhogov,d223449b-58bb-4893-90ab-5e2f9608b26d,
3-users_lifewatch_by_group_kpi_2023-11-07,eu,exteceuropa,923546ba-7633-4ba6-aad9-585d918e835b,
3-users_lifewatch_by_group_kpi_2023-11-07,ca,oceannetworks,b99ea5c0-ba2f-4b7d-9033-ffd6961c6396,
3-users_lifewatch_by_group_kpi_2023-11-07,fi,helsinki,35b86861-f846-437c-b130-a0be9283f2b2,
3-users_lifewatch_by_group_kpi_2023-11-07,etn_mda_admin,,4149200f-5612-4abd-aa1e-d8021333d4cf,
3-users_lifewatch_by_group_kpi_2023-11-07,com,163,afc3ff9d-8e6f-4667-8586-2f9782000586,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,biologyoxac,cc8e51a6-4706-47d3-8724-899cc9ed0107,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,myportac,53e9a3f8-3d38-4639-ad29-12ab6a16b4e6,
3-users_lifewatch_by_group_kpi_2023-11-07,de,arcor,dff294df-67aa-4b5a-a675-9f429380e073,
3-users_lifewatch_by_group_kpi_2023-11-07,be,esatkuleuven,801618f6-18ed-4662-8781-684eb220039b,
3-users_lifewatch_by_group_kpi_2023-11-07,uk,myportac,c9835136-3b15-4c28-b7fd-7397be41448c,
