raw_country,raw_institute,raw_source,identifier
uk,yahooco,3-users_lifewatch_by_group_kpi_2023-11-07,a20a923d-45cf-4e83-82c7-3a7970e54ec3
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,7b334af1-30a9-4f70-9af5-e9f31e69ecb6
nl,naturalis,3-users_lifewatch_by_group_kpi_2023-11-07,d7a26bda-2317-4f78-b8d8-79ff21de063e
au,ntgov,3-users_lifewatch_by_group_kpi_2023-11-07,6035bb22-8e73-4c39-9d59-1a997946a0fc
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,14af5b27-203e-4694-8dfc-eca8bab493a2
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,51bbeffa-ee8f-487d-bfb1-38e77db3cf2e
nl,nioz,3-users_lifewatch_by_group_kpi_2023-11-07,62db2248-af49-4a2b-ab8f-d68ca86d5da6
be,ulbac,3-users_lifewatch_by_group_kpi_2023-11-07,3a0975ee-2d18-490b-9823-00ac39312681
uk,aberac,3-users_lifewatch_by_group_kpi_2023-11-07,d1640ea8-505a-411f-9e36-5c4c5aa6107f
it,unile,3-users_lifewatch_by_group_kpi_2023-11-07,1d699f0a-2433-41bf-bbb7-f38a2dffe96d
be,ulbac,3-users_lifewatch_by_group_kpi_2023-11-07,f0f66577-2215-4779-80fa-eab8bb03dd5e
au,utasedu,3-users_lifewatch_by_group_kpi_2023-11-07,93a4317f-33db-4a44-bd64-12e632408e90
es,uv,3-users_lifewatch_by_group_kpi_2023-11-07,d0c4f3f9-668d-4c72-a1a1-5a23eb55e9a2
be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07,7bca0c7b-94fe-40a4-9d07-5db79f4e273e
de,uni-hamburg,3-users_lifewatch_by_group_kpi_2023-11-07,75fa2cf7-b769-4210-a53c-aa9572382c55
com,icloud,3-users_lifewatch_by_group_kpi_2023-11-07,5eb1d265-09ad-4c31-acbf-9e362127bb43
de,thuenen,3-users_lifewatch_by_group_kpi_2023-11-07,b35b5d4f-1330-4ed8-bfad-b601059c9052
de,senckenberg,3-users_lifewatch_by_group_kpi_2023-11-07,18c94311-b767-45af-ae12-5085ace9570c
pl,biolunilodz,3-users_lifewatch_by_group_kpi_2023-11-07,b402b76a-c70b-4f8e-bcc3-1f809f2038c4
fr,mnhn,3-users_lifewatch_by_group_kpi_2023-11-07,fd76a714-46d3-4a4b-a55c-28e12cf5c918
fr,u-bourgogne,3-users_lifewatch_by_group_kpi_2023-11-07,52b8ddeb-ffef-4d45-ac0b-b1939b1e7944
com,gmail,3-users_lifewatch_by_group_kpi_2023-11-07,2a8239a5-f4c2-4642-93d6-84292afd1009
ru,zin,3-users_lifewatch_by_group_kpi_2023-11-07,a3991696-3909-46e9-99bf-e3074f1af30c
uk,nocsotonac,3-users_lifewatch_by_group_kpi_2023-11-07,52c0fc08-1c0d-4981-8c76-ca51db2eb0b1
uk,basac,3-users_lifewatch_by_group_kpi_2023-11-07,1c670e46-79d7-447a-b110-d334e9f1e39d
de,geomar,3-users_lifewatch_by_group_kpi_2023-11-07,2da6153e-e7e4-4929-9765-8a0dfa797991
it,unige,3-users_lifewatch_by_group_kpi_2023-11-07,b4574cfd-57f2-4273-8f67-e161dca362c5
be,Ugent,3-users_lifewatch_by_group_kpi_2023-11-07,4651b31b-e286-47c3-ab94-8c7cb4ebee22
be,naturalsciences,3-users_lifewatch_by_group_kpi_2023-11-07,cf7b1083-b1ff-48e8-9096-85c0956b542b
fr,upmc,3-users_lifewatch_by_group_kpi_2023-11-07,b3715ba3-d981-44e2-a3c5-1f33a3ff1ee0
ca,eoasubc,3-users_lifewatch_by_group_kpi_2023-11-07,559230d1-750a-4c34-966f-47310ce6a574
