source,raw_institute,user_identifier,stand_institute,Unnamed: 0.1,Unnamed: 0,country_alpha2,country_alpha3,country_official_name,country_url,flemish,group,qh,MarineInfo_ID,ROR_ID,local_ID
4-datarequest_users_2023_11_07,ilvo,4-datarequest_users_2023_11_07_9bc3b8c6-a583-4af9-81bc-d090d9ee9083,"ILVO Flanders Research Institute for Agriculture, Fisheries and Food",213.0,213.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Research institute,Science,https://marineinfo.org/id/institute/5442,https://ror.org/05cjt1n05,3e28e922-018d-448f-8740-d242c100d81e
4-datarequest_users_2023_11_07,CSIC,4-datarequest_users_2023_11_07_828a0bc0-fca0-4e27-ade6-89150a9a1d7b,CSIC (Consejo Superior de Investigaciones Científicas),,,,,,,,,,,,
4-datarequest_users_2023_11_07,UN Environment Programme - World Conservation Monitoring Centre,4-datarequest_users_2023_11_07_8fda1b5a-173b-40ec-b4af-d34e0da7c476,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,ugent,4-datarequest_users_2023_11_07_fe044653-e5b7-474c-9f42-bae79e0380c3,Ghent University,185.0,185.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/471,https://ror.org/00cv9y106,374a6417-a31b-4ecd-a76d-9038141692c4
4-datarequest_users_2023_11_07,ugent,4-datarequest_users_2023_11_07_d06fc738-e1a8-4c5f-93d2-8bb3d98f2311,Ghent University,185.0,185.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/471,https://ror.org/00cv9y106,374a6417-a31b-4ecd-a76d-9038141692c4
4-datarequest_users_2023_11_07,University of Salento,4-datarequest_users_2023_11_07_6683af20-9963-4634-bd4d-c19ab7b61cc3,University of Salento,1237.0,1237.0,IT,ITA,Italian Republic,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AIT,,University,Science,https://marineinfo.org/id/institute/9076,https://ror.org/03fc1k060,0dba3c9c-8d1f-4ea6-9ee0-d1b7d7a5d970
4-datarequest_users_2023_11_07,Brevisco BVBA,4-datarequest_users_2023_11_07_d7a6d1cf-2abd-4ae1-a610-76e8851a286b,Brevisco BVBA,155.0,155.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Company,Industry,https://marineinfo.org/id/institute/8595,-,05a70694-155e-4a94-9ad5-64de6dc56634
4-datarequest_users_2023_11_07,sioen,4-datarequest_users_2023_11_07_7461bc51-ba78-4629-b557-cf3cd60ab88f,Sioen industries,251.0,251.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Company,Industry,https://marineinfo.org/id/institute/12195,https://ror.org/03ks2qn81,a30ca60b-93cd-447d-b02d-cb156c7596a0
4-datarequest_users_2023_11_07,Antwerp Maritime Academy,4-datarequest_users_2023_11_07_804a6a64-457e-4b09-9540-3c14b9d8628e,Antwerp Maritime Academy (HZS),150.0,150.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/3260,https://ror.org/04ag58v20,4220b533-9892-4109-8e35-4d9ace5bd405
4-datarequest_users_2023_11_07,"ugent - Faculty of Veterinary Medicine - Department of Pathology, Bacteriology and Avian Diseases",4-datarequest_users_2023_11_07_e9eab2b0-072f-4364-9acd-7ca9f88f1a2b,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,personal,4-datarequest_users_2023_11_07_8841fafb-e27e-4335-b686-e560995be273,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
4-datarequest_users_2023_11_07,De Blauwe Cluster VZW,4-datarequest_users_2023_11_07_4a6d2217-1d94-4015-a90d-b92574eb76f8,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,Aquacultuur Oostende,4-datarequest_users_2023_11_07_7b3cb286-c27c-4bc1-92aa-965c48bb2885,Aquacultuur Oostende BVBA,151.0,151.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,Company,Industry,-,-,7bcdcebb-6cf9-4977-a2cc-d6d25a734fe4
4-datarequest_users_2023_11_07,personal,4-datarequest_users_2023_11_07_b582949a-7797-405a-93f1-1ffc577837b2,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
4-datarequest_users_2023_11_07,EPAA,4-datarequest_users_2023_11_07_e79c1640-7946-453a-a5a9-322c90e4049c,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,edf,4-datarequest_users_2023_11_07_b7907766-53bb-4615-af1b-d0444df62b1e,,,,,,,,,,,,,
4-datarequest_users_2023_11_07,kuleuven,4-datarequest_users_2023_11_07_588b9ce5-0f9b-499c-b3ea-70baa6b38db8,Catholique University of Louvain,156.0,156.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/12102,https://ror.org/02495e989,542adfb9-ff95-4fd1-a8c4-abb652bec903
4-datarequest_users_2023_11_07,ulb,4-datarequest_users_2023_11_07_48981c21-6fb6-49a5-aaec-8a3caabddb0d,Free University of Brussels (VUB),175.0,175.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,University,Science,https://marineinfo.org/id/institute/2956,https://ror.org/006e5kg04,02e24a2d-18fc-47ac-8489-e9cfbbb7f666
4-datarequest_users_2023_11_07,Hogere Zeevaartschool Antwerpen,4-datarequest_users_2023_11_07_339b379a-5ef6-45d0-aa0e-c3278a612418,Antwerp Maritime Academy (HZS),150.0,150.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/3260,https://ror.org/04ag58v20,4220b533-9892-4109-8e35-4d9ace5bd405
4-datarequest_users_2023_11_07,sirris,4-datarequest_users_2023_11_07_ff252d8d-880b-4fd0-bbad-263826065fbe,Sirris,252.0,252.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,o,Non-profit organization,Civil society,https://marineinfo.org/id/institute/8503,https://ror.org/01qr26m26,a4a98e2a-b712-4d2c-832f-43609018a476
4-datarequest_users_2023_11_07,ugent,4-datarequest_users_2023_11_07_09b46784-2e92-427d-9e11-b6a3d8d12a6b,Ghent University,185.0,185.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/471,https://ror.org/00cv9y106,374a6417-a31b-4ecd-a76d-9038141692c4
4-datarequest_users_2023_11_07,ugent,4-datarequest_users_2023_11_07_d8323aee-908a-474f-8f35-c6648063c409,Ghent University,185.0,185.0,BE,BEL,Kingdom of Belgium,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3ABE,x,University,Science,https://marineinfo.org/id/institute/471,https://ror.org/00cv9y106,374a6417-a31b-4ecd-a76d-9038141692c4
4-datarequest_users_2023_11_07,personal,4-datarequest_users_2023_11_07_1bac2ded-bf04-4440-88d6-2310977a8388,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
4-datarequest_users_2023_11_07,personal,4-datarequest_users_2023_11_07_877c0c40-952e-4b8d-8604-a2a1e868d223,personal,2518.0,2518.0,,,,https://www.iso.org/obp/ui/#iso%3Acode%3A3166%3AXAA,,personal interest,Civil society,-,-,eedc2aab-2f2d-497f-ae0c-45205cbd7c40
